,phi_h,Ti,Ta,phi_s
0 days 00:05:00,3000.0,293.69032985622084,270.85820312500005,0.0
0 days 00:05:30,3000.0,293.74173587821434,270.85820312500005,0.0
0 days 00:06:00,3000.0,293.79265975753,270.85820312500005,0.0
0 days 00:06:30,3000.0,293.8430684450872,270.85820312500005,0.0
0 days 00:07:00,3000.0,293.89295358113833,270.85820312500005,0.0
0 days 00:07:30,3000.0,293.9423112829846,270.85820312500005,0.0
0 days 00:08:00,3000.0,293.9911393582734,270.85820312500005,0.0
0 days 00:08:30,3000.0,294.03943581611077,270.85820312500005,0.0
0 days 00:09:00,3000.0,294.0871993239384,270.85820312500005,0.0
0 days 00:09:30,3000.0,294.13442919499494,270.85820312500005,0.0
0 days 00:10:00,3000.0,294.1811252486948,270.86640625,0.0
0 days 00:10:30,3000.0,294.22724310051746,270.86640625,0.0
0 days 00:11:00,3000.0,294.2728674535776,270.86640625,0.0
0 days 00:11:30,3000.0,294.31796464893057,270.86640625,0.0
0 days 00:12:00,3000.0,294.36253298195265,270.86640625,0.0
0 days 00:12:30,3000.0,294.4065726908751,270.86640625,0.0
0 days 00:13:00,3000.0,294.45008537795513,270.86640625,0.0
0 days 00:13:30,3000.0,294.4930731692211,270.86640625,0.0
0 days 00:14:00,3000.0,294.5355384392831,270.86640625,0.0
0 days 00:14:30,3000.0,294.57748375156734,270.86640625,0.0
0 days 00:15:00,3000.0,294.61891143289904,270.87421875,0.0
0 days 00:15:30,3000.0,294.65976940156816,270.87421875,0.0
0 days 00:16:00,3000.0,294.70016239182974,270.87421875,0.0
0 days 00:16:30,3000.0,294.74005526579595,270.87421875,0.0
0 days 00:17:00,3000.0,294.7794456813392,270.87421875,0.0
0 days 00:17:30,3000.0,294.8183357320965,270.87421875,0.0
0 days 00:18:00,3000.0,294.85672855382853,270.87421875,0.0
0 days 00:18:30,3000.0,294.8946277698709,270.87421875,0.0
0 days 00:19:00,3000.0,294.9320372217089,270.87421875,0.0
0 days 00:19:30,3000.0,294.9689608862556,270.87421875,0.0
0 days 00:20:00,3000.0,295.0054028446791,270.88203125,0.0
0 days 00:20:30,596.0,294.98802563930167,270.88203125,0.0
0 days 00:21:00,596.0,294.9709023388397,270.88203125,0.0
0 days 00:21:30,596.0,294.9540357082483,270.88203125,0.0
0 days 00:22:00,596.0,294.9374286887801,270.88203125,0.0
0 days 00:22:30,596.0,294.9210762726561,270.88203125,0.0
0 days 00:23:00,596.0,294.90497112250097,270.88203125,0.0
0 days 00:23:30,596.0,294.8891054071737,270.88203125,0.0
0 days 00:24:00,596.0,294.8734713801876,270.88203125,0.0
0 days 00:24:30,596.0,294.85806154648503,270.88203125,0.0
0 days 00:25:00,596.0,294.8428699538617,270.88945312500005,0.0
0 days 00:25:30,43.99999999999999,294.8157005279527,270.88945312500005,0.0
0 days 00:26:00,43.99999999999999,294.7888616290313,270.88945312500005,0.0
0 days 00:26:30,43.99999999999999,294.76235499743495,270.88945312500005,0.0
0 days 00:27:00,43.99999999999999,294.7361883970873,270.88945312500005,0.0
0 days 00:27:30,43.99999999999999,294.7103577826434,270.88945312500005,0.0
0 days 00:28:00,43.99999999999999,294.68485541756405,270.88945312500005,0.0
0 days 00:28:30,43.99999999999999,294.6596725787986,270.88945312500005,0.0
0 days 00:29:00,43.99999999999999,294.63480044828424,270.88945312500005,0.0
0 days 00:29:30,43.99999999999999,294.6102303981644,270.88945312500005,0.0
